"","Cmean","pval","I","pval.1","Lambda","pval.2","K","pval.3","K.star","pval.4"
"2",0.77777611995057,0.001,0.288594852984734,0.001,1.00502218442542,0.001,1.22835604005978,0.001,0.67158383214775,0.001
"3",0.726166191133585,0.001,0.43064399689952,0.001,1.00784497854478,0.001,0.182483515861806,0.001,0.579561645104455,0.001
"4",0.829858600081107,0.001,0.442723843753933,0.001,1.00372589076377,0.001,0.364306589786412,0.001,1.08709953073132,0.001
"5",0.815728928164302,0.001,0.511236408747619,0.001,1.00138434310359,0.001,0.263982160316327,0.001,1.12655875243433,0.001
"6",0.614542657933452,0.001,0.410597873176083,0.001,1.00417452944984,0.001,0.476137315971657,0.001,0.54709144451262,0.001
"7",0.795955969636755,0.001,0.293697707541892,0.001,1.00684069163504,0.001,2.64675095710693,0.001,1.22143107037506,0.001
"8",0.540400922159899,0.001,0.341652001708868,0.001,1.01075993983879,0.001,0.105312802820547,0.001,0.463964761534864,0.001
"9",0.744278727709762,0.001,0.334494220091289,0.001,1.00592475031208,0.001,0.533600611822204,0.001,0.619053262948981,0.001
"10",0.74637522521354,0.001,0.328027718703581,0.001,1.00488033579019,0.001,1.06490260669225,0.001,0.600234973277017,0.001
"11",0.533496613572587,0.001,0.262002711112736,0.001,1.00236918356967,0.001,0.127228199950261,0.001,0.371521067362365,0.001
"12",0.840283423472707,0.001,0.462576277746251,0.001,1.00616940106986,0.001,0.37407032421047,0.001,1.08970071178067,0.001
"13",0.811570452101674,0.001,0.407578645629531,0.001,1.00000998351529,0.001,0.362218952173827,0.001,0.875919154771068,0.001
"14",0.774171416587639,0.001,0.337521344570528,0.001,1.00860103910975,0.001,0.406623112985682,0.001,0.607689461493893,0.001
"15",0.703542331523207,0.001,0.314339126529424,0.001,0.999991908083944,0.001,1.67631555269672,0.001,0.827184629400434,0.001
"16",0.723815568638141,0.001,0.240952564496168,0.005,1.00871940004125,0.001,1.08327044190646,0.001,0.648461418652462,0.001
"17",0.653946285438333,0.001,0.38905365061887,0.001,1.002311465028,0.001,0.154807108607199,0.001,0.501386464874693,0.001
"18",0.698285527471068,0.001,0.408417931679271,0.001,1.01051851947938,0.001,0.149917868903011,0.001,0.570114637858683,0.001
"19",0.80214244970691,0.001,0.411022408472014,0.001,1.00629897442989,0.001,0.443406872524399,0.001,0.909197896105219,0.001
"20",0.795544740007688,0.001,0.43671076382992,0.001,0.999995510593629,0.001,0.683005650223746,0.001,1.07406698793425,0.001
"21",0.815961042959792,0.001,0.39905901083214,0.001,1.00559483629232,0.001,1.26262277869472,0.001,1.11233102552134,0.001
"22",0.618513638742969,0.001,0.345373418080254,0.001,1.01246567366136,0.001,0.0740377922583272,0.001,0.301933146632802,0.001
"23",0.860938885536341,0.001,0.496132663115463,0.001,1.00094381126432,0.001,1.03669811590546,0.001,1.36004609712281,0.001
"24",0.71775919692982,0.001,0.351466325750768,0.001,1.01023400253835,0.001,0.20894590601491,0.001,0.549376186304068,0.001
"25",0.882868710350001,0.001,0.490527918174315,0.001,1.00158410162488,0.001,1.56456407856525,0.001,2.10319441176967,0.001
"26",0.702093856408067,0.001,0.298727544356577,0.001,1.00109328244909,0.001,0.705460748904579,0.001,0.75564830686615,0.001
"27",0.730019925409407,0.001,0.408012214270054,0.001,1.00113491007262,0.001,0.242779057573616,0.001,0.76456355064105,0.001
"28",0.696781688604535,0.001,0.443135799139249,0.001,0.999999009991447,0.001,0.220224687462855,0.001,0.710027877955116,0.001
"29",0.903553035374043,0.001,0.448910643280202,0.001,0.999994217276171,0.001,0.970981716197215,0.001,2.09886800401678,0.001
"30",0.684148534436324,0.001,0.46244821194403,0.001,0.999987611722421,0.001,0.186635454778924,0.001,0.592095100474645,0.001
"31",0.884365808516742,0.001,0.5712200487306,0.001,1.00566021940439,0.001,0.717066029859826,0.001,1.62485291471384,0.001
"32",0.772770489532648,0.001,0.401184054774495,0.001,1.00868814635596,0.001,0.572733478249892,0.001,0.994060380151903,0.001
"33",0.605804638860218,0.001,0.286874394627125,0.001,1.00727376319753,0.001,0.788212670901857,0.001,0.505409751989497,0.001
"34",0.773537623006508,0.001,0.517765684845356,0.001,1.00558723504165,0.001,0.646828885778568,0.001,0.878409592450006,0.001
"35",0.753690816181923,0.001,0.405055481546766,0.001,1.00186297451966,0.001,0.189619698191504,0.001,0.540702311935105,0.001
"36",0.845164256126874,0.001,0.506340421391639,0.001,1.00042581299148,0.001,0.706999900580551,0.001,1.29452412407838,0.001
"37",0.623080596531221,0.001,0.408078785216487,0.001,1.00368514395671,0.001,0.381479066283828,0.001,0.395642179578418,0.001
"38",0.855914124689043,0.001,0.564561517539305,0.001,1.00762137000799,0.001,0.875251264611687,0.001,1.17389654410539,0.001
"39",0.707078208411169,0.001,0.513131866092327,0.001,1.00916667711286,0.001,0.205882927984129,0.001,0.632140404591267,0.001
"40",0.561655477063125,0.001,0.408886180619579,0.001,0.999991103943419,0.001,0.567102086315584,0.001,0.545331237689463,0.001
"41",0.589006877421484,0.001,0.346207583843599,0.001,1.00871774742633,0.001,0.0849999943511632,0.001,0.360154901219178,0.001
"42",0.82241968907234,0.001,0.457092868820126,0.001,0.999989606927619,0.001,0.221387018676809,0.001,0.874210545656041,0.001
"43",0.930157540181677,0.001,0.443394063921978,0.001,1.00189750424304,0.001,3.69244805032377,0.001,2.61968288676214,0.001
"44",0.62970070239887,0.001,0.389920886882454,0.001,1.00803136293503,0.001,1.03080808787109,0.001,0.613612956489911,0.001
"45",0.620142770431222,0.001,0.299822828370453,0.001,1.00096259080876,0.001,0.18019484277345,0.001,0.41090904997317,0.001
"46",0.843824748001461,0.001,0.444204840698386,0.001,1.0070536891626,0.001,1.17205304696459,0.001,1.44983646398224,0.001
