"","Cmean","pval","I","pval.1","Lambda","pval.2","K","pval.3","K.star","pval.4"
"2",0.710984337252001,0.001,0.306595404970659,0.001,1.0040328284926,0.001,0.323672419414888,0.001,0.732507464422718,0.001
"3",0.823737726080547,0.001,0.462031362062837,0.001,1.0018753366157,0.001,0.752833244890811,0.001,1.21822780333665,0.001
"4",0.809836286953204,0.001,0.49349595772008,0.001,1.00162764685813,0.001,0.76141881117214,0.001,0.954317098469423,0.001
"5",0.737748526450636,0.001,0.344541212463472,0.001,1.00172780616932,0.001,0.180156812701837,0.001,0.741446185708114,0.001
"6",0.591580353047481,0.001,0.427173158544552,0.001,1.00853383233978,0.001,0.865635902851153,0.001,0.671524839382334,0.001
"7",0.661139739991448,0.001,0.243298074914055,0.001,0.999995346904896,0.001,0.153886952834976,0.001,0.368277149868886,0.001
"8",0.64942405514711,0.001,0.414897898031721,0.001,1.00173991237862,0.001,0.10703203801044,0.001,0.473465556338433,0.001
"9",0.846298380061764,0.001,0.274700757400498,0.001,0.999988046384295,0.001,2.60870370714714,0.001,1.19419011444818,0.001
"10",0.83443029368061,0.001,0.350198694516894,0.001,1.00185643424439,0.001,1.35352492191422,0.001,1.37635796043415,0.001
"11",0.706789342940225,0.001,0.354504401009585,0.001,1.00711895734882,0.001,0.399552363654231,0.001,0.683063133178229,0.001
"12",0.738544295151578,0.001,0.524261315847296,0.001,1.0058158089062,0.001,0.167815813144628,0.001,0.751724618542599,0.001
"13",0.727731941997247,0.001,0.29999957912188,0.001,1.00183610237832,0.001,1.23161455126341,0.001,0.582096265908492,0.001
"14",0.670188416584953,0.001,0.263263429142354,0.002,1.00352402725764,0.001,1.53655279520913,0.001,0.653819432023007,0.001
"15",0.922410688898897,0.001,0.572811840490174,0.001,1.0076977731836,0.001,1.71414552351871,0.001,3.03049095792032,0.001
"16",0.909816960569941,0.001,0.434753069072689,0.001,1.00738110009247,0.001,10.0617144816273,0.001,4.24445192623997,0.001
"17",0.739516554522231,0.001,0.365626473203765,0.001,1.00474402561326,0.001,0.897390153963793,0.001,0.784310353282641,0.001
"18",0.7060193505409,0.001,0.419842137686745,0.001,1.00364945923176,0.001,0.14839335600707,0.001,0.629636893245257,0.001
"19",0.755309638900589,0.001,0.209032978207772,0.001,1.00022972367413,0.001,1.30254756210977,0.001,0.738499431491485,0.001
"20",0.780101013494457,0.001,0.207278656258799,0.005,1.00031079318413,0.001,1.68990334900665,0.001,0.908373850375588,0.001
"21",0.702938299622288,0.001,0.423881503595527,0.001,1.00718150474449,0.001,0.120958022683924,0.001,0.433236779461531,0.001
"22",0.599812633014999,0.001,0.196263036252249,0.002,1.00487287443482,0.001,0.164289629855859,0.001,0.37726359745372,0.001
"23",0.768075824372156,0.001,0.354686794078284,0.001,1.00179658684398,0.001,0.277919905075967,0.001,0.76591260868918,0.001
"24",0.722137117711692,0.001,0.252772632500644,0.001,1.00685090227256,0.001,0.320011828644007,0.001,0.571499735459597,0.001
"25",0.714286367592181,0.001,0.399643120784309,0.001,1.00162716398019,0.001,0.397655721007435,0.001,0.582092579046516,0.001
"26",0.716186282171417,0.001,0.323424684875338,0.001,1.00898532903826,0.001,0.249172081259062,0.001,0.699439753923749,0.001
"27",0.657152477940691,0.001,0.4459668883522,0.001,1.00003358012626,0.001,0.207456311011819,0.001,0.486008520694976,0.001
"28",0.758796479801644,0.001,0.376603715979355,0.001,1.00713045350463,0.001,1.24628665364097,0.001,0.854321389802137,0.001
"29",0.834092275579486,0.001,0.244638612535323,0.001,1.00739594313195,0.001,1.11948108468146,0.001,0.676337235302235,0.001
"30",0.781700358016047,0.001,0.377566993472673,0.001,1.00710220216838,0.001,0.721623925846904,0.001,0.82299078152883,0.001
"31",0.702101723024725,0.001,0.431395310804309,0.001,1.00147800716295,0.001,0.322116988226507,0.001,0.503468455905734,0.001
"32",0.86322371918202,0.001,0.366050098029174,0.001,1.00707280605828,0.001,2.38191405920292,0.001,1.44691891490774,0.001
"33",0.725524530497265,0.001,0.255155965767402,0.001,1.00447128025927,0.001,0.283462538749217,0.001,0.556041306865206,0.001
"34",0.751537419420552,0.001,0.428910346834062,0.001,1.00377712855944,0.001,0.240802494172518,0.001,0.613166888060103,0.001
"35",0.777142697804309,0.001,0.313283379785976,0.001,1.00135707114463,0.001,1.2846304396815,0.001,0.848056875129225,0.001
"36",0.755586830285181,0.001,0.457102716207817,0.001,1.00246205477183,0.001,0.252751681163795,0.001,0.616174344330953,0.001
"37",0.63730384079035,0.001,0.411831719750093,0.001,1.00487374820051,0.001,0.106359657363268,0.001,0.43072914681852,0.001
"38",0.786293723125267,0.001,0.437033189328537,0.001,1.00443837044078,0.001,0.401928145446043,0.001,0.744352643872631,0.001
"39",0.832436925774189,0.001,0.444128310850118,0.001,1.01197935862873,0.001,0.601600583964514,0.001,0.887205304751927,0.001
"40",0.711373880605534,0.001,0.421886285509914,0.001,1.00739632035362,0.001,0.135947522787217,0.001,0.55318060407583,0.001
"41",0.769655193304937,0.001,0.499208942617502,0.001,1.00179406469424,0.001,0.408680947137411,0.001,0.89474135510187,0.001
"42",0.822099493475274,0.001,0.337012438049398,0.001,1.00966855916939,0.001,0.792215492084781,0.001,0.921917728226517,0.001
"43",0.799114011525928,0.001,0.520086464485717,0.001,1.00151289817336,0.001,0.283436622636407,0.001,1.05860559337081,0.001
"44",0.917337812359202,0.001,0.468645958867042,0.001,1.00143104035052,0.001,2.99431511372859,0.001,2.1347765131326,0.001
"45",0.809049542498039,0.001,0.32709683345504,0.001,1.00850342155453,0.001,0.412124793189977,0.001,0.843186333774624,0.001
"46",0.816065791066843,0.001,0.45027963180366,0.001,1.01038195209286,0.001,0.339976469835492,0.001,1.05759596781586,0.001
"47",0.514093417215877,0.001,0.341397149259769,0.001,0.999989529458273,0.001,0.110197811566634,0.001,0.35584598227782,0.001
"48",0.772707861298134,0.001,0.432508831848774,0.001,1.01014564291798,0.001,0.376160498294236,0.001,1.11038127393978,0.001
"49",0.834661440500228,0.001,0.432835245866956,0.001,1.00332060328913,0.001,1.20719775785048,0.001,1.21509263138767,0.001
"50",0.842493797653549,0.001,0.385038100391078,0.001,1.00159934592904,0.001,0.776883844208616,0.001,1.12655631328314,0.001
"51",0.740995197575796,0.001,0.291671829093425,0.001,1.00069854327102,0.001,1.38270279557623,0.001,0.775507000347745,0.001
"52",0.903373015738746,0.001,0.559240549925197,0.001,1.00125412945254,0.001,1.06772481877891,0.001,1.71871390409899,0.001
"53",0.64059790847623,0.001,0.311232458789597,0.001,1.00657386797604,0.001,0.731751345777494,0.001,0.571898202174396,0.001
"54",0.514162863238999,0.001,0.224188467482198,0.001,1.00331086196162,0.001,0.128584650935949,0.001,0.377015696840677,0.001
"55",0.630045375242063,0.001,0.266113649600241,0.001,1.00653875699662,0.001,0.283721767984239,0.001,0.569690694596094,0.001
"56",0.818731987513494,0.001,0.487209537444649,0.001,1.00752158232914,0.001,0.802454271685807,0.001,1.18281085268619,0.001
"57",0.73291909205938,0.001,0.329042688971148,0.001,0.999995888690298,0.001,1.26088608732534,0.001,0.749766209356297,0.001
"58",0.782297955056311,0.001,0.376211513560856,0.001,1.0028187543172,0.001,1.79777931088623,0.001,1.03324324270743,0.001
"59",0.799227281952275,0.001,0.396893053909811,0.001,1.00134581796724,0.001,0.448487626188103,0.001,0.850813607963876,0.001
"60",0.797296376220462,0.001,0.491606186779763,0.001,1.00358687517953,0.001,0.360241945208629,0.001,0.947564118784188,0.001
"61",0.781808021164214,0.001,0.262630246975336,0.001,1.00369279392861,0.001,0.526598379564486,0.001,0.942811738221996,0.001
"62",0.621992784537094,0.001,0.229441411590367,0.002,1.01089136024702,0.001,0.189035058134031,0.001,0.543799855074037,0.001
"63",0.731549954910395,0.001,0.434117317971208,0.001,1.00272247384014,0.001,0.98079077424607,0.001,0.781053360750616,0.001
"64",0.679488500344708,0.001,0.396924338827735,0.001,0.999973715948458,0.001,0.328555415340147,0.001,0.493231402628999,0.001
"65",0.78902652472388,0.001,0.461586695628088,0.001,1.00234190484025,0.001,0.787569919266703,0.001,1.06581238411591,0.001
"66",0.875388364300843,0.001,0.504575474267455,0.001,1.00038093320592,0.001,0.479917175530395,0.001,1.69316608628563,0.001
