"taxa","Group","Species","Combined","TaxID"
"33072_BAC90097_rbcL","Gloeobacterales","Gloeobacter violaceus","Gloeobacterales | Gloeobacter violaceus",33072
"272123_AFZ55644_rbcL","Nostocales","Anabaena cylindrica PCC 7122","Nostocales | Anabaena cylindrica PCC 7122",272123
"1710891_OBQ10764_rbcL","Nostocales","Anabaena sp. AL09","Nostocales | Anabaena sp. AL09",1710891
"1710888_OBQ36830_rbcL","Nostocales","Anabaena sp. CRKS33","Nostocales | Anabaena sp. CRKS33",1710888
"1710886_OBQ36220_rbcL","Nostocales","Anabaena sp. MDT14b","Nostocales | Anabaena sp. MDT14b",1710886
"1647413_ALB41756_rbcL","Nostocales","Anabaena sp. WA102","Nostocales | Anabaena sp. WA102",1647413
"1973483_BAY31787_rbcL","Nostocales","Nostoc carneum NIES-2107","Nostocales | Nostoc carneum NIES-2107",1973483
"1137087_BBD65873_rbcL","Nostocales","Nostoc commune HK-02","Nostocales | Nostoc commune HK-02",1137087
"1628751_PHK41354_rbcL","Nostocales","Nostoc linckia z16","Nostocales | Nostoc linckia z16",1628751
"63737_ACC82570_rbcL","Nostocales","Nostoc punctiforme PCC 73102","Nostocales | Nostoc punctiforme PCC 73102",63737
"1973475_BAY39546_rbcL","Nostocales","Nostoc sp. NIES-2111","Nostocales | Nostoc sp. NIES-2111",1973475
"2653204_QFS49268_rbcL","Nostocales","Nostoc sphaeroides CCNUC1","Nostocales | Nostoc sphaeroides CCNUC1",2653204
"987040_PAX60588_rbcL","Nostocales","Calothrix elsteri CCALA 953","Nostocales | Calothrix elsteri CCALA 953",987040
"2005462_BAZ04846_rbcL","Nostocales","Calothrix sp. NIES-3974","Nostocales | Calothrix sp. NIES-3974",2005462
"2005469_BAZ16966_rbcL","Nostocales","Calothrix sp. NIES-4071","Nostocales | Calothrix sp. NIES-4071",2005469
"2005463_BAZ63111_rbcL","Nostocales","Calothrix sp. NIES-4105","Nostocales | Calothrix sp. NIES-4105",2005463
"1170562_AFZ01992_rbcL","Nostocales","Calothrix sp. PCC 6303","Nostocales | Calothrix sp. PCC 6303",1170562
"2005461_BAZ42712_rbcL","Nostocales","Calothrix sp. NIES-4101","Nostocales | Calothrix sp. NIES-4101",2005461
"1973485_BAY93896_rbcL","Nostocales","Fremyella diplosiphon NIES-3275","Nostocales | Fremyella diplosiphon NIES-3275",1973485
"373994_AFY55923_rbcL","Nostocales","Rivularia sp. PCC 7116","Nostocales | Rivularia sp. PCC 7116",373994
"1880902_OCQ98652_rbcL","Synechococcales","Limnothrix sp. P13C2","Synechococcales | Limnothrix sp. P13C2",1880902
"1704291_PIB07953_rbcL","Synechococcales","Limnothrix sp. PR1529","Synechococcales | Limnothrix sp. PR1529",1704291
"927668_ELS32946_rbcL","Synechococcales","Pseudanabaena biceps PCC 7429","Synechococcales | Pseudanabaena biceps PCC 7429",927668
"945775_PZO42169_rbcL","Synechococcales","Pseudanabaena frigida","Synechococcales | Pseudanabaena frigida",945775
"1153_PZU95930_rbcL","Synechococcales","Pseudanabaena sp.","Synechococcales | Pseudanabaena sp.",1153
"1153_PZV11582_rbcL","Synechococcales","Pseudanabaena sp.","Synechococcales | Pseudanabaena sp.",1153
"685565_BBC26154_rbcL","Synechococcales","Pseudanabaena sp. ABRG5-3","Synechococcales | Pseudanabaena sp. ABRG5-3",685565
"82654_AFY69218_rbcL","Synechococcales","Pseudanabaena sp. PCC 7367","Synechococcales | Pseudanabaena sp. PCC 7367",82654
"1980935_OYQ65395_rbcL","Synechococcales","Pseudanabaena sp. SR411","Synechococcales | Pseudanabaena sp. SR411",1980935
"2219813_AZB73040_rbcL","Synechococcales","Synechococcus elongatus PCC 11801","Synechococcales | Synechococcus elongatus PCC 11801",2219813
"269084_BAD78320_rbcL","Synechococcales","Synechococcus elongatus PCC 6301","Synechococcales | Synechococcus elongatus PCC 6301",269084
"1140_ABB57456_rbcL","Synechococcales","Synechococcus elongatus PCC 7942","Synechococcales | Synechococcus elongatus PCC 7942",1140
"2579791_QCS50341_rbcL","Synechococcales","Synechococcus sp. PCC 11901","Synechococcales | Synechococcus sp. PCC 11901",2579791
"32049_ACA99786_rbcL","Synechococcales","Synechococcus sp. PCC 7002","Synechococcales | Synechococcus sp. PCC 7002",32049
"374982_AMA09473_rbcL","Synechococcales","Synechococcus sp. PCC 73109","Synechococcales | Synechococcus sp. PCC 73109",374982
"195248_ANV90809_rbcL","Synechococcales","Synechococcus sp. PCC 8807","Synechococcales | Synechococcus sp. PCC 8807",195248
"195498_ANV87636_rbcL","Synechococcales","Synechococcus sp. PCC 7117","Synechococcales | Synechococcus sp. PCC 7117",195498
"195253_AFY61139_rbcL","Synechococcales","Synechococcus sp. PCC 6312","Synechococcales | Synechococcus sp. PCC 6312",195253
"120273_AHL69546_rbcL","Cupressales","Taxus mariei","Cupressales | Taxus mariei",120273
