"","Cmean","pval","I","pval.1","Lambda","pval.2","K","pval.3","K.star","pval.4"
"2",0.825521104811824,0.001,0.458362260621373,0.001,1.01291857564831,0.001,0.734404958142015,0.001,0.882225505017474,0.001
"3",0.708831789627769,0.001,0.527106066067065,0.001,1.02393124199937,0.001,0.207166155003904,0.001,0.451119763572072,0.001
"4",0.869836195109696,0.001,0.471657762903185,0.001,0.999985449349185,0.001,4.29891230431245,0.001,2.3881700272315,0.001
"5",0.829265231540649,0.001,0.447898343137327,0.001,1.0120530524413,0.001,0.469169423504893,0.001,0.852009189086567,0.001
"6",0.630226298073176,0.001,0.305886240383803,0.001,1.02069414327875,0.001,0.129207826255243,0.001,0.451568640654383,0.001
"7",0.648168906928407,0.001,0.362323980926169,0.001,1.028692959299,0.001,0.614847551875972,0.001,0.570007247522949,0.001
"8",0.825116806408227,0.001,0.513999720561959,0.001,1.05033883032742,0.001,0.222929049161821,0.001,1.10783723347272,0.001
"9",0.677904285440587,0.001,0.443383310080901,0.001,1.02514836156643,0.001,0.304418885517384,0.001,0.646118919867177,0.001
"10",0.717194496798045,0.001,0.470393057466722,0.001,1.02379243968588,0.001,0.275679672054482,0.001,0.72156789398714,0.001
"11",0.803851550540476,0.001,0.477543256432198,0.001,1.00581324267468,0.001,0.270977938001658,0.001,0.828099181893899,0.001
"12",0.694811634361877,0.001,0.521725093467336,0.001,1.00000568649866,0.001,0.124602233865239,0.001,0.547273898389303,0.001
"13",0.61357922482029,0.001,0.418820113127319,0.001,1.03556379829251,0.001,0.156634147442508,0.001,0.315747472747502,0.001
"14",0.597661128858346,0.001,0.444039896613671,0.001,1.00000652177243,0.001,0.198986672974992,0.001,0.492247300565144,0.001
"15",0.58466975558223,0.001,0.344919728499546,0.001,1.02842915737264,0.001,0.213749032781814,0.001,0.463314455768399,0.001
"16",0.638673177310327,0.001,0.382198570890638,0.001,1.04720177471231,0.001,0.655833846192831,0.001,0.54993930994403,0.001
"17",0.661002036688278,0.001,0.343116340375435,0.001,1.02515825363526,0.001,0.138543856838883,0.001,0.474328828725791,0.001
"18",0.52957676965824,0.001,0.293956269857571,0.001,1.03524470233129,0.001,0.0662317906633198,0.001,0.311015854472817,0.001
"19",0.819278772434382,0.001,0.382912392842402,0.001,1.02128694334732,0.001,1.00993308176301,0.001,0.791946926281733,0.001
"20",0.858833891375894,0.001,0.605010705472693,0.001,1.00328907362188,0.001,0.59831543180136,0.001,1.83134872327704,0.001
"21",0.666170690549908,0.001,0.424613275861516,0.001,1.00322746685007,0.001,0.150275246924533,0.001,0.612581701500419,0.001
"22",0.849177770776098,0.001,0.470606910168929,0.001,1.04084713754368,0.001,3.00576070158873,0.001,1.87517706975494,0.001
"23",0.544717498281929,0.001,0.391101406451916,0.001,1.00001079724076,0.001,0.0696516310225358,0.001,0.373334075537794,0.001
"24",0.669235150368328,0.001,0.282625749761984,0.004,1.00000477475886,0.001,0.776386191063063,0.001,0.735284942267445,0.001
"25",0.520684398951935,0.001,0.467459503903021,0.001,1.04436521208165,0.001,0.427245355937286,0.001,0.445912068161227,0.001
"26",0.633705778297796,0.001,0.35387731907961,0.001,1.00150554748244,0.001,0.690772281778617,0.001,0.60980266056639,0.001
"27",0.780990854670444,0.001,0.365775505398722,0.001,1.04526766791599,0.001,1.36268171106356,0.001,0.986481815006949,0.001
"28",0.870818006910672,0.001,0.429032699355849,0.001,0.999994769782821,0.001,2.37602447403999,0.001,1.8034522203744,0.001
"29",0.771274590637047,0.001,0.463965866435263,0.001,1.04832387602997,0.001,0.31830325291986,0.001,0.848400602985453,0.001
"30",0.613561831535327,0.001,0.311416182670508,0.001,1.00160919987457,0.001,0.0937959477955995,0.001,0.489841912192396,0.001
"31",0.905101535249914,0.001,0.432761815931803,0.001,1.02069857505251,0.001,3.39026270266252,0.001,2.15059644043421,0.001
"32",0.756621682951999,0.001,0.447192821734821,0.001,0.999990385094666,0.001,0.579919411449193,0.001,1.00554335234481,0.001
"33",0.456058427546154,0.001,0.206165513250631,0.002,1.00183144440493,0.001,0.0632247831574359,0.001,0.336583903742909,0.001
"34",0.856278022752215,0.001,0.334631276467382,0.001,1.04858995363863,0.001,3.46593905723671,0.001,1.83504174437851,0.001
"35",0.759626201944734,0.001,0.313121905143238,0.001,1.00113561409417,0.001,1.06758114004312,0.001,0.800693906650226,0.001
"36",0.884613639290092,0.001,0.453448849297605,0.001,1.02407489597246,0.001,2.02906074060947,0.001,1.83629822459542,0.001
"37",0.789376901886889,0.001,0.510219642994854,0.001,0.999989386682098,0.001,1.66923465374432,0.001,2.07449733866673,0.001
"38",0.699847801681981,0.001,0.384891285702612,0.001,1.00001253637273,0.001,0.229654112177811,0.001,0.502384243594953,0.001
"39",0.672846192343631,0.001,0.257821303221776,0.001,1.0094926035584,0.001,0.248542633004553,0.001,0.379633705156379,0.001
"40",0.688339447141255,0.001,0.395401325004996,0.001,1.0216277376576,0.001,0.125430460195917,0.001,0.535237613744035,0.001
"41",0.789865912801183,0.001,0.444468540079332,0.001,1.00129227179787,0.001,0.184095506968347,0.001,0.671819060900111,0.001
"42",0.820976365065413,0.001,0.428288902389388,0.001,1.03240161372613,0.001,1.62545882782269,0.001,1.21000646267357,0.001
"43",0.650470497248413,0.001,0.280260952228472,0.006,1.0030711354849,0.001,1.31806653998226,0.001,0.761772356420412,0.001
"44",0.848909553031317,0.001,0.441107142947364,0.001,1.02166669175841,0.001,1.03259512114622,0.001,1.32661202272496,0.001
"45",0.696771248860667,0.001,0.535171550368237,0.001,1.01425696852559,0.001,0.124430880510435,0.001,0.588121280907714,0.001
"46",0.752451891579396,0.001,0.423618200865367,0.001,1.00000481054834,0.001,1.23278207034338,0.001,0.994382515764155,0.001
"47",0.744614239260257,0.001,0.447277167657933,0.001,1.05274642607201,0.001,1.55220089708921,0.001,1.08916953111172,0.001
"48",0.615998863763603,0.001,0.323122215872979,0.001,1.00359697477508,0.001,0.113308628965669,0.001,0.547814247589268,0.001
