no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
1,SYM+I+G4,35725.773,71963.546,72072.384,73317.861,0.77777612,0.001,0.288594853,0.001,1.005022184,0.001,1.22835604,0.001,0.671583832,0.001
2,TIM3e+I+G4,35739.575,71987.150,72094.120,73330.885,0.726166191,0.001,0.430643997,0.001,1.007844979,0.001,0.182483516,0.001,0.579561645,0.001
3,TIMe+I+G4,35742.515,71993.030,72100.000,73336.765,0.8298586,0.001,0.442723844,0.001,1.003725891,0.001,0.36430659,0.001,1.087099531,0.001
4,TNe+I+G4,35752.368,72010.735,72116.778,73349.179,0.815728928,0.001,0.511236409,0.001,1.001384343,0.001,0.26398216,0.001,1.126558752,0.001
5,TIM2e+I+G4,35751.258,72010.517,72117.486,73354.251,0.614542658,0.001,0.410597873,0.001,1.004174529,0.001,0.476137316,0.001,0.547091445,0.001
6,TVMe+I+G4,35776.505,72063.010,72170.910,73412.034,0.79595597,0.001,0.293697708,0.001,1.006840692,0.001,2.646750957,0.001,1.22143107,0.001
7,K3P+I+G4,35792.971,72091.941,72197.984,73430.385,0.540400922,0.001,0.341652002,0.001,1.01075994,0.001,0.105312803,0.001,0.463964762,0.001
8,SYM+G4,35785.724,72081.448,72189.348,73430.472,0.744278728,0.001,0.33449422,0.001,1.00592475,0.001,0.533600612,0.001,0.619053263,0.001
9,K2P+I+G4,35802.642,72109.284,72214.405,73442.438,0.746375225,0.001,0.328027719,0.001,1.004880336,0.001,1.064902607,0.001,0.600234973,0.001
10,TIM3e+G4,35801.004,72108.007,72214.050,73446.451,0.533496614,0.001,0.262002711,0.001,1.002369184,0.001,0.1272282,0.001,0.371521067,0.001
11,TIMe+G4,35805.630,72117.260,72223.303,73455.704,0.840283423,0.001,0.462576278,0.001,1.006169401,0.001,0.374070324,0.001,1.089700712,0.001
12,TNe+G4,35816.541,72137.082,72242.203,73470.236,0.811570452,0.001,0.407578646,0.001,1.000009984,0.001,0.362218952,0.001,0.875919155,0.001
13,TIM2e+G4,35815.228,72136.456,72242.499,73474.900,0.774171417,0.001,0.337521345,0.001,1.008601039,0.001,0.406623113,0.001,0.607689461,0.001
14,GTR+F+I+G4,35808.754,72135.508,72247.183,73505.694,0.703542332,0.001,0.314339127,0.001,0.999991908,0.001,1.676315553,0.001,0.827184629,0.001
15,TVMe+G4,35832.621,72173.241,72280.210,73516.975,0.723815569,0.001,0.240952564,0.005,1.0087194,0.001,1.083270442,0.001,0.648461419,0.001
16,TIM3+F+I+G4,35831.380,72176.760,72286.538,73536.366,0.653946285,0.001,0.389053651,0.001,1.002311465,0.001,0.154807109,0.001,0.501386465,0.001
17,K3P+G4,35850.701,72205.402,72310.523,73538.556,0.698285527,0.001,0.408417932,0.001,1.010518519,0.001,0.149917869,0.001,0.570114638,0.001
18,K2P+G4,35861.310,72224.619,72328.824,73552.483,0.80214245,0.001,0.411022408,0.001,1.006298974,0.001,0.443406873,0.001,0.909197896,0.001
19,GTR+F+G4,35861.756,72239.511,72350.235,73604.407,0.79554474,0.001,0.436710764,0.001,0.999995511,0.001,0.68300565,0.001,1.074066988,0.001
20,TIM2+F+I+G4,35874.545,72263.089,72372.868,73622.695,0.815961043,0.001,0.399059011,0.001,1.005594836,0.001,1.262622779,0.001,1.112331026,0.001
21,TIM+F+I+G4,35875.394,72264.787,72374.566,73624.393,0.618513639,0.001,0.345373418,0.001,1.012465674,0.001,0.074037792,0.001,0.301933147,0.001
22,TN+F+I+G4,35882.659,72277.318,72386.155,73631.633,0.860938886,0.001,0.496132663,0.001,1.000943811,0.001,1.036698116,0.001,1.360046097,0.001
23,TVM+F+I+G4,35876.811,72269.623,72380.347,73634.518,0.717759197,0.001,0.351466326,0.001,1.010234003,0.001,0.208945906,0.001,0.549376186,0.001
24,TIM3+F+G4,35886.035,72284.070,72392.907,73638.385,0.88286871,0.001,0.490527918,0.001,1.001584102,0.001,1.564564079,0.001,2.103194412,0.001
25,TPM3+F+I+G4,35897.076,72306.151,72414.988,73660.466,0.702093856,0.001,0.298727544,0.001,1.001093282,0.001,0.705460749,0.001,0.755648307,0.001
26,TPM3u+F+I+G4,35897.080,72306.160,72414.997,73660.475,0.730019925,0.001,0.408012214,0.001,1.00113491,0.001,0.242779058,0.001,0.764563551,0.001
27,TIM2+F+G4,35932.972,72377.943,72486.780,73732.258,0.696781689,0.001,0.443135799,0.001,0.99999901,0.001,0.220224687,0.001,0.710027878,0.001
28,TIM+F+G4,35933.892,72379.785,72488.622,73734.100,0.903553035,0.001,0.448910643,0.001,0.999994217,0.001,0.970981716,0.001,2.098868004,0.001
29,TVM+F+G4,35931.139,72376.278,72486.056,73735.883,0.684148534,0.001,0.462448212,0.001,0.999987612,0.001,0.186635455,0.001,0.5920951,0.001
30,TN+F+G4,35941.836,72393.673,72501.574,73742.698,0.884365809,0.001,0.571220049,0.001,1.005660219,0.001,0.71706603,0.001,1.624852915,0.001
31,K3Pu+F+I+G4,35938.200,72388.401,72497.238,73742.715,0.77277049,0.001,0.401184055,0.001,1.008688146,0.001,0.572733478,0.001,0.99406038,0.001
32,TPM2u+F+I+G4,35939.008,72390.016,72498.853,73744.331,0.605804639,0.001,0.286874395,0.001,1.007273763,0.001,0.788212671,0.001,0.505409752,0.001
33,TPM2+F+I+G4,35939.014,72390.029,72498.866,73744.344,0.773537623,0.001,0.517765685,0.001,1.005587235,0.001,0.646828886,0.001,0.878409592,0.001
34,HKY+F+I+G4,35945.535,72401.069,72508.970,73750.094,0.753690816,0.001,0.405055482,0.001,1.001862975,0.001,0.189619698,0.001,0.540702312,0.001
35,TPM3u+F+G4,35952.269,72414.537,72522.438,73763.562,0.845164256,0.001,0.506340421,0.001,1.000425813,0.001,0.706999901,0.001,1.294524124,0.001
36,TPM3+F+G4,35952.270,72414.539,72522.440,73763.564,0.623080597,0.001,0.408078785,0.001,1.003685144,0.001,0.381479066,0.001,0.39564218,0.001
37,K3Pu+F+G4,35994.785,72499.570,72607.471,73848.595,0.855914125,0.001,0.564561518,0.001,1.00762137,0.001,0.875251265,0.001,1.173896544,0.001
38,TPM2+F+G4,35996.484,72502.968,72610.869,73851.993,0.707078208,0.001,0.513131866,0.001,1.009166677,0.001,0.205882928,0.001,0.632140405,0.001
39,TPM2u+F+G4,35996.485,72502.970,72610.871,73851.994,0.561655477,0.001,0.408886181,0.001,0.999991104,0.001,0.567102086,0.001,0.545331238,0.001
40,HKY+F+G4,36002.979,72513.958,72620.927,73857.692,0.589006877,0.001,0.346207584,0.001,1.008717747,0.001,0.084999994,0.001,0.360154901,0.001
41,JC+I+G4,36913.532,74329.064,74433.268,75656.927,0.822419689,0.001,0.457092869,0.001,0.999989607,0.001,0.221387019,0.001,0.874210546,0.001
42,JC+G4,36963.670,74427.340,74530.632,75749.913,0.93015754,0.001,0.443394064,0.001,1.001897504,0.001,3.69244805,0.001,2.619682887,0.001
43,F81+F+I+G4,37068.850,74645.701,74752.670,75989.435,0.629700702,0.001,0.389920887,0.001,1.008031363,0.001,1.030808088,0.001,0.613612956,0.001
44,F81+F+G4,37117.332,74740.664,74846.706,76079.108,0.62014277,0.001,0.299822828,0.001,1.000962591,0.001,0.180194843,0.001,0.41090905,0.001
45,SYM+I,37278.201,75066.402,75174.303,76415.427,0.843824748,0.001,0.444204841,0.001,1.007053689,0.001,1.172053047,0.001,1.449836464,0.001
46,TIMe+I,37296.910,75099.819,75205.862,76438.263,0.897313025,0.001,0.447653583,0.001,1.013139859,0.001,1.360214666,0.001,2.101770592,0.001
47,TIM3e+I,37306.976,75119.952,75225.995,76458.396,0.789023083,0.001,0.317635218,0.001,1.001159836,0.001,2.263967568,0.001,1.12958135,0.001
48,TIM2e+I,37315.826,75137.652,75243.695,76476.096,0.87796517,0.001,0.297220057,0.001,1.003964418,0.001,5.282200936,0.001,1.989700236,0.001
49,TNe+I,37320.191,75144.383,75249.504,76477.537,0.699733666,0.001,0.557696614,0.001,1.00662522,0.001,0.318329466,0.001,0.588838375,0.001
50,TVMe+I,37348.273,75204.546,75311.515,76548.280,0.585596959,0.001,0.256693026,0.001,1.003356915,0.001,0.12036209,0.001,0.38404545,0.001
51,K3P+I,37367.214,75238.429,75343.550,76571.582,0.817272609,0.001,0.456892614,0.001,1.002592737,0.001,0.885823161,0.001,1.400383549,0.001
52,GTR+F+I,37361.942,75239.885,75350.609,76604.780,0.747716338,0.001,0.376113525,0.001,1.000019311,0.001,0.410729541,0.001,0.6627212,0.001
53,K2P+I,37390.655,75283.311,75387.515,76611.174,0.821883033,0.001,0.505956145,0.001,1.007090786,0.001,0.786697505,0.001,1.23108758,0.001
54,TIM3+F+I,37397.414,75306.829,75415.666,76661.144,0.695921224,0.001,0.280020613,0.001,1.001583191,0.001,0.273854317,0.001,0.609016,0.001
55,TIM+F+I,37420.065,75352.130,75460.967,76706.445,0.715162264,0.001,0.418999838,0.001,1.006176832,0.001,0.261497012,0.001,0.67471053,0.001
56,TIM2+F+I,37429.236,75370.471,75479.308,76724.786,0.74817914,0.001,0.349748156,0.001,1.000372528,0.001,0.330108679,0.001,0.784048076,0.001
57,TN+F+I,37440.573,75391.146,75499.047,76740.171,0.745933295,0.001,0.494999601,0.001,1.011302486,0.001,0.995403267,0.001,0.679581059,0.001
58,TVM+F+I,37442.158,75398.315,75508.093,76757.920,0.724117958,0.001,0.346426581,0.001,1.00001855,0.001,0.214247376,0.001,0.591567253,0.001
59,TPM3+F+I,37477.318,75464.636,75572.537,76813.661,0.775883949,0.001,0.361053619,0.001,1.011135706,0.001,1.550898116,0.001,1.073449663,0.001
60,TPM3u+F+I,37477.321,75464.643,75572.544,76813.668,0.75712364,0.001,0.423579844,0.001,0.999997887,0.001,0.743582924,0.001,1.064653133,0.001
61,K3Pu+F+I,37500.559,75511.117,75619.018,76860.142,0.579527539,0.001,0.411645331,0.001,1.008567417,0.001,0.13112388,0.001,0.37513649,0.001
62,TPM2u+F+I,37510.343,75530.687,75638.588,76879.712,0.678113865,0.001,0.342073319,0.001,1.004967747,0.001,0.233390471,0.001,0.595902142,0.001
