no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
63,TPM2+F+I,37510.345,75530.690,75638.591,76879.715,0.733048472,0.001,0.479447624,0.001,1.006977782,0.001,0.260909611,0.001,0.856613016,0.001
64,HKY+F+I,37521.236,75550.472,75657.441,76894.206,0.838958155,0.001,0.425515648,0.001,1.009689437,0.001,0.98253937,0.001,1.066516428,0.001
65,JC+I,38392.609,77285.218,77388.510,78607.791,0.621288309,0.001,0.232576487,0.001,1.007449393,0.001,0.763475446,0.001,0.64580042,0.001
66,F81+F+I,38532.576,77571.151,77677.194,78909.595,0.708516977,0.001,0.442583679,0.001,1.007086066,0.001,0.65169087,0.001,0.614845106,0.001
67,SYM,39486.055,79480.110,79587.080,80823.845,0.734102336,0.001,0.30315095,0.001,1.0102416,0.001,0.818104263,0.001,0.697705481,0.001
68,TIMe,39503.469,79510.938,79616.059,80844.092,0.846678717,0.001,0.520830258,0.001,1.007924558,0.001,0.352400508,0.001,0.850142381,0.001
69,TIM3e,39510.852,79525.705,79630.826,80858.858,0.842877393,0.001,0.541870114,0.001,1.01155707,0.001,0.756985395,0.001,1.388215948,0.001
70,TNe,39528.174,79558.348,79662.553,80886.212,0.729282295,0.001,0.285409291,0.001,1.012440371,0.001,0.365302641,0.001,0.795353196,0.001
71,TIM2e,39528.109,79560.218,79665.339,80893.371,0.725222305,0.001,0.277129269,0.001,1.004954374,0.001,1.597569481,0.001,0.893876924,0.001
72,GTR+F,39553.755,79621.510,79731.288,80981.115,0.919467458,0.001,0.574015494,0.001,1.000003704,0.001,1.863001211,0.001,2.146644867,0.001
73,TIM3+F,39581.309,79672.618,79780.519,81021.642,0.90217947,0.001,0.458773237,0.001,1.008939236,0.001,6.329252105,0.001,3.168310142,0.001
74,TIM+F,39613.359,79736.718,79844.619,81085.743,0.829156309,0.001,0.337181604,0.001,1.003071329,0.001,1.677944838,0.001,1.149120314,0.001
75,TN+F,39638.090,79784.180,79891.149,81127.914,0.554894796,0.001,0.254008329,0.001,1.0046056,0.001,0.147455059,0.001,0.473547003,0.001
76,TIM2+F,39636.176,79782.352,79890.253,81131.377,0.844069854,0.001,0.355509168,0.001,1.003131408,0.001,1.94001024,0.001,1.479294489,0.001
77,TVMe,39682.606,79871.212,79977.255,81209.656,0.628949445,0.001,0.378975006,0.001,1.002934909,0.001,0.139966953,0.001,0.457577119,0.001
78,K3P,39700.369,79902.738,80006.943,81230.602,0.710270943,0.001,0.26037453,0.001,1.018424208,0.001,0.756615308,0.001,0.645440872,0.001
79,K2P,39725.341,79950.682,80053.974,81273.255,0.791162712,0.001,0.369325572,0.001,1.017886348,0.001,1.376746239,0.001,0.973757017,0.001
80,TVM+F,39774.053,80060.107,80168.944,81414.422,0.824526661,0.001,0.439901902,0.001,1.008913371,0.001,2.050401088,0.001,1.13143542,0.001
81,TPM3+F,39801.549,80111.098,80218.068,81454.832,0.682583543,0.001,0.349298357,0.001,1.012581,0.001,0.276530956,0.001,0.619329972,0.001
82,TPM3u+F,39801.549,80111.098,80218.068,81454.833,0.60387928,0.001,0.354629464,0.001,1.005605459,0.001,0.241588571,0.001,0.46710873,0.001
83,K3Pu+F,39833.747,80175.493,80282.463,81519.228,0.725040444,0.001,0.245663492,0.002,1.002513338,0.001,1.173767305,0.001,0.798615258,0.001
84,HKY+F,39858.801,80223.602,80329.644,81562.046,0.88599345,0.001,0.459877989,0.001,1.001799713,0.001,2.918222867,0.001,1.692916776,0.001
85,TPM2+F,39857.104,80222.208,80329.177,81565.942,0.785352285,0.001,0.28739194,0.001,1.005200088,0.001,0.722869243,0.001,0.721136235,0.001
86,TPM2u+F,39857.104,80222.209,80329.178,81565.943,0.722427005,0.001,0.474617315,0.001,1.008574166,0.001,0.661179745,0.001,0.936046939,0.001
87,JC,40686.758,81871.516,81973.901,83188.799,0.719904734,0.001,0.319576283,0.001,1.003015134,0.001,0.253109791,0.001,0.517613785,0.001
88,F81+F,40820.420,82144.841,82249.962,83477.994,0.571144205,0.001,0.254918526,0.001,1.009481719,0.001,0.490885421,0.001,0.437221236,0.001
