no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
39,Blosum62+R2,11065.232,22616.465,23129.815,23628.150,0.688339447,0.001,0.395401325,0.001,1.021627738,0.001,0.12543046,0.001,0.535237614,0.001
40,PMB+F+I,11011.250,22544.501,23186.585,23631.126,0.789865913,0.001,0.44446854,0.001,1.001292272,0.001,0.184095507,0.001,0.671819061,0.001
41,Blosum62+F+I,11066.779,22655.557,23297.642,23742.182,0.820976365,0.001,0.428288902,0.001,1.032401614,0.001,1.625458828,0.001,1.210006463,0.001
42,VT+G4,11127.952,22739.903,23246.851,23747.425,0.650470497,0.001,0.280260952,0.006,1.003071135,0.001,1.31806654,0.001,0.761772356,0.001
43,VT+I+G4,11128.245,22742.491,23255.841,23754.176,0.848909553,0.001,0.441107143,0.001,1.021666692,0.001,1.032595121,0.001,1.326612023,0.001
44,VT+R3,11127.175,22744.350,23270.726,23764.363,0.696771249,0.001,0.53517155,0.001,1.014256969,0.001,0.124430881,0.001,0.588121281,0.001
45,VT+R4,11126.610,22747.219,23286.919,23775.558,0.752451892,0.001,0.423618201,0.001,1.000004811,0.001,1.23278207,0.001,0.994382516,0.001
46,VT+R2,11150.682,22787.363,23300.714,23799.049,0.744614239,0.001,0.447277168,0.001,1.052746426,0.001,1.552200897,0.001,1.089169531,0.001
47,VT+F+I,11110.426,22742.852,23384.937,23829.478,0.615998864,0.001,0.323122216,0.001,1.003596975,0.001,0.113308629,0.001,0.547814248,0.001
48,WAG+F+G4,11112.906,22747.811,23389.896,23834.437,0.891140183,0.001,0.387700781,0.001,1.033062944,0.001,3.524730928,0.001,2.578441514,0.001
49,WAG+F+I+G4,11113.209,22750.419,23400.475,23841.207,0.490018659,0.001,0.335493888,0.001,1.040926142,0.001,0.087116292,0.001,0.343417678,0.001
50,WAG+F+R3,11113.137,22754.273,23420.559,23853.388,0.628209715,0.001,0.324738212,0.001,1.035822662,0.001,0.308661489,0.001,0.49407429,0.001
51,WAG+F+R4,11111.678,22755.357,23438.261,23862.799,0.825963271,0.001,0.395425601,0.001,1.006070389,0.001,0.892738201,0.001,1.091878393,0.001
52,WAG+F+R2,11135.830,22795.660,23445.716,23886.448,0.721787068,0.001,0.322408054,0.001,1.021050742,0.001,0.752071222,0.001,0.635866898,0.001
53,PMB+I,11200.199,22884.397,23391.345,23891.919,0.83138024,0.001,0.365471969,0.001,1.014263089,0.001,1.005052891,0.001,1.2728373,0.001
