no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
1,WAG+I+G4,9734.517,19959.033,20461.283,20984.654,0.850522941,0.001,0.530524426,0.001,1.018202097,0.001,0.238159583,0.001,0.953600355,0.001
2,WAG+G4,9739.631,19967.261,20463.361,20988.696,0.637381847,0.001,0.356276595,0.001,1.00155072,0.001,0.129789753,0.001,0.488090923,0.001
3,WAG+R4,9724.499,19946.998,20474.540,20989.364,0.933184953,0.001,0.446914028,0.001,1.003763055,0.001,3.933301617,0.001,3.292361075,0.001
4,WAG+R5,9719.685,19941.370,20481.985,20992.108,0.689964968,0.001,0.44838332,0.001,1.002057152,0.001,0.288095612,0.001,0.598717206,0.001
5,WAG+R3,9734.672,19963.344,20478.100,20997.338,0.875632125,0.001,0.450148777,0.001,1.000012806,0.001,1.461912394,0.001,1.434888038,0.001
6,JTTDCMut+I+G4,9762.981,20015.962,20518.212,21041.584,0.69409534,0.001,0.245968821,0.008,1.010554588,0.001,2.719134681,0.001,1.023402417,0.001
7,JTTDCMut+R4,9751.579,20001.158,20528.700,21043.524,0.745775299,0.001,0.509708167,0.001,1.000918638,0.001,0.273234064,0.001,0.683489388,0.001
8,JTTDCMut+R3,9760.318,20014.636,20529.392,21048.629,0.697109466,0.001,0.480529118,0.001,0.999991998,0.001,0.236288658,0.001,0.605763752,0.001
9,JTTDCMut+G4,9771.369,20030.738,20526.838,21052.173,0.558460641,0.001,0.255538966,0.001,1.019590381,0.001,0.087754575,0.001,0.305417409,0.001
10,JTT+I+G4,9769.326,20028.652,20530.902,21054.273,0.823044885,0.001,0.503786508,0.001,1.000016282,0.001,0.341086026,0.001,0.82176452,0.001
11,JTT+R4,9757.765,20013.530,20541.072,21055.896,0.874349354,0.001,0.513400758,0.001,1.002235676,0.001,1.266442719,0.001,1.289803914,0.001
12,JTT+R3,9766.540,20027.080,20541.836,21061.073,0.857264487,0.001,0.48521735,0.001,1.000041265,0.001,0.326387328,0.001,1.129001218,0.001
13,JTT+G4,9777.816,20043.632,20539.732,21065.067,0.745858339,0.001,0.273213832,0.002,1.014303214,0.001,0.830488269,0.001,0.868823657,0.001
14,WAG+R2,9785.479,20060.959,20563.209,21086.580,0.566575545,0.001,0.417881189,0.001,1.005984977,0.001,0.083688841,0.001,0.355224748,0.001
15,VT+R4,9779.535,20057.070,20584.613,21099.436,0.711467382,0.001,0.396937569,0.001,1.008941537,0.001,0.418792501,0.001,1.073736492,0.001
16,VT+I+G4,9792.443,20074.885,20577.135,21100.506,0.638109088,0.001,0.33932318,0.001,1.009075721,0.001,0.291617475,0.001,0.517765463,0.001
17,VT+R5,9775.189,20052.378,20592.993,21103.116,0.795894214,0.001,0.46456494,0.001,1.00329833,0.001,0.213457329,0.001,0.719490879,0.001
18,VT+G4,9797.471,20082.941,20579.041,21104.376,0.668166337,0.001,0.320544879,0.001,1.000012097,0.001,0.397267435,0.001,0.579428735,0.001
19,VT+R3,9788.700,20071.400,20586.157,21105.394,0.754370879,0.001,0.318425399,0.001,1.006210435,0.001,1.848111815,0.001,0.99591594,0.001
20,cpREV+I+G4,9796.977,20083.954,20586.204,21109.575,0.76046007,0.001,0.485796227,0.001,0.999998703,0.001,0.581757638,0.001,1.085706328,0.001
21,cpREV+R4,9787.432,20072.864,20600.406,21115.230,0.586314387,0.001,0.400224388,0.001,1.00783679,0.001,0.390121934,0.001,0.60668111,0.001
22,cpREV+R5,9782.922,20067.844,20608.460,21118.583,0.825951577,0.001,0.623290709,0.001,1.001595966,0.001,0.19750237,0.001,0.754561645,0.001
23,cpREV+R3,9796.764,20087.529,20602.285,21121.522,0.791234627,0.001,0.442717541,0.001,1.005058759,0.001,0.479341948,0.001,0.535334215,0.001
24,cpREV+G4,9806.273,20100.546,20596.645,21121.981,0.565169013,0.001,0.224685696,0.004,1.007885601,0.001,0.394184047,0.001,0.423593166,0.001
25,JTTDCMut+R2,9814.611,20119.222,20621.472,21144.843,0.683233019,0.001,0.28456691,0.001,1.006747022,0.001,1.479365728,0.001,0.833086686,0.001
26,JTT+R2,9820.828,20131.657,20633.907,21157.278,0.86057154,0.001,0.656728199,0.001,1.005925347,0.001,0.382499565,0.001,1.714919911,0.001
27,cpREV+F+I+G4,9772.186,20072.372,20705.494,21177.531,0.747414031,0.001,0.342785402,0.001,1.009773749,0.001,1.775011887,0.001,0.936492799,0.001
28,WAG+F+I+G4,9772.289,20072.578,20705.701,21177.738,0.81824881,0.001,0.291628141,0.002,1.000012753,0.001,3.028217615,0.001,1.352798391,0.001
29,WAG+F+R4,9761.007,20058.013,20722.456,21179.917,0.742911239,0.001,0.525128493,0.001,0.999991171,0.001,0.270561493,0.001,0.644810944,0.001
