no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
96,cpREV,15145.759,30777.519,31290.869,31789.204,0.827554808,0.001,0.406969736,0.001,1.004475986,0.001,1.567377832,0.001,1.308516896,0.001
97,Dayhoff+F+R3,15380.221,31292.441,31975.345,32399.883,0.749954969,0.001,0.435538733,0.001,1.004440034,0.001,1.197600308,0.001,0.873131032,0.001
98,Dayhoff+F+G4,15392.164,31310.327,31968.450,32405.279,0.857401722,0.001,0.581866519,0.001,0.999995821,0.001,0.716967395,0.001,1.465024437,0.001
99,Dayhoff+F+R2,15391.523,31311.045,31977.331,32410.160,0.510236509,0.001,0.206217899,0.005,1.029172588,0.001,1.083626541,0.001,0.762503535,0.001
100,DCMut+F+R3,15385.825,31303.649,31986.553,32411.091,0.744638627,0.001,0.489404464,0.001,1.018768361,0.001,0.449893039,0.001,0.800041375,0.001
101,Dayhoff+F+I+G4,15392.153,31312.306,31978.592,32411.421,0.837751283,0.001,0.444218047,0.001,1.012765628,0.001,1.553441253,0.001,1.450203105,0.001
102,Dayhoff+F+R4,15379.878,31295.756,31995.678,32411.524,0.855785797,0.001,0.588355122,0.001,1.018264641,0.001,0.418621123,0.001,1.169620075,0.001
103,DCMut+F+G4,15397.255,31320.511,31978.634,32415.462,0.823058671,0.001,0.570041473,0.001,1.004450335,0.001,1.821857498,0.001,2.246295239,0.001
104,DCMut+F+I+G4,15397.234,31322.468,31988.753,32421.583,0.694901756,0.001,0.330374988,0.001,1.004512956,0.001,1.021789184,0.001,0.634081915,0.001
105,DCMut+F+R2,15397.510,31323.021,31989.306,32422.136,0.872630566,0.001,0.581812674,0.001,1.00501132,0.001,0.59008183,0.001,1.457598329,0.001
106,DCMut+F+R4,15385.498,31306.996,32006.919,32422.765,0.753918878,0.001,0.560931493,0.001,1.000962439,0.001,0.383019674,0.001,0.804038638,0.001
107,Dayhoff+F+I,15444.734,31415.468,32073.591,32510.420,0.678353482,0.001,0.379715434,0.001,1.004264427,0.001,0.157182792,0.001,0.555704474,0.001
108,Dayhoff+F,15451.448,31426.897,32076.953,32517.685,0.5867447,0.001,0.426806145,0.001,1.00726921,0.001,0.207689213,0.001,0.508130404,0.001
109,DCMut+F+I,15449.768,31425.537,32083.660,32520.488,0.876236121,0.001,0.491994455,0.001,1.009624417,0.001,0.80346967,0.001,1.65194749,0.001
110,DCMut+F,15456.613,31437.226,32087.282,32528.014,0.769801779,0.001,0.281097476,0.001,1.00355567,0.001,0.696525667,0.001,0.762809201,0.001
111,Dayhoff+R3,15705.337,31904.674,32444.375,32933.013,0.737798105,0.001,0.284042105,0.001,1.018384501,0.001,0.703410429,0.001,0.669136554,0.001
112,Dayhoff+G4,15717.123,31922.245,32442.071,32938.094,0.87529121,0.001,0.520763282,0.001,1.000746687,0.001,1.599291084,0.001,2.000328216,0.001
113,DCMut+R3,15709.181,31912.363,32452.063,32940.701,0.770900887,0.001,0.500160091,0.001,1.000751641,0.001,0.125425003,0.001,0.644398781,0.001
114,Dayhoff+R2,15716.276,31922.552,32448.928,32942.565,0.870425387,0.001,0.457380418,0.001,0.999989378,0.001,1.453958577,0.001,1.181482575,0.001
115,Dayhoff+I+G4,15717.142,31924.284,32450.660,32944.296,0.797737464,0.001,0.362724806,0.001,1.022869074,0.001,2.31836613,0.001,1.437238956,0.001
116,Dayhoff+R4,15704.922,31907.843,32461.176,32944.508,0.847709543,0.001,0.442713389,0.001,1.005030744,0.001,0.692441601,0.001,1.30342685,0.001
117,DCMut+G4,15720.795,31929.590,32449.416,32945.439,0.86495029,0.001,0.645965425,0.001,1.018182379,0.001,0.277419647,0.001,1.412486493,0.001
118,DCMut+R2,15720.779,31931.557,32457.933,32951.569,0.822701567,0.001,0.502032925,0.001,1.018000561,0.001,1.47741722,0.001,1.822157585,0.001
119,DCMut+I+G4,15720.799,31931.598,32457.973,32951.610,0.738597744,0.001,0.29749258,0.001,1.002635942,0.001,0.860792363,0.001,0.624503428,0.001
120,DCMut+R4,15708.776,31915.552,32468.885,32952.217,0.817756072,0.001,0.604688737,0.001,1.018587508,0.001,0.161840459,0.001,0.813040499,0.001
121,Dayhoff+I,15783.688,32055.375,32575.201,33071.224,0.657571472,0.001,0.470512041,0.001,1.000002159,0.001,0.467215517,0.001,0.656180705,0.001
122,DCMut+I,15786.494,32060.989,32580.815,33076.838,0.81518582,0.001,0.329330289,0.001,1.017633389,0.001,2.534846561,0.001,1.65095661,0.001
123,Dayhoff,15790.781,32067.562,32580.912,33079.247,0.684542816,0.001,0.489548769,0.001,1.00001056,0.001,0.214110386,0.001,0.472291821,0.001
124,DCMut,15793.683,32073.366,32586.717,33085.052,0.850043288,0.001,0.349764869,0.001,1.004219281,0.001,1.79853536,0.001,1.213688252,0.001
