no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
1,K2P+G4,38687.106,77876.213,77983.784,79197.484,0.830532007,0.001,0.529631054,0.001,1.000972061,0.001,0.225627586,0.001,0.915424976,0.001
2,K2P+I+G4,38685.118,77874.236,77982.757,79200.772,0.638565106,0.001,0.370309543,0.001,0.999996167,0.001,0.174442339,0.001,0.583910645,0.001
3,TNe+G4,38686.847,77877.694,77986.215,79204.229,0.774239272,0.001,0.547562124,0.001,1.002109746,0.001,0.302165281,0.001,0.846731594,0.001
4,K3P+G4,38687.079,77878.159,77986.680,79204.694,0.693405046,0.001,0.295923502,0.001,1.001322928,0.001,0.161737383,0.001,0.575578558,0.001
5,TNe+I+G4,38684.864,77875.729,77985.204,79207.528,0.729337119,0.001,0.310206732,0.001,1.000000998,0.001,1.113148137,0.001,0.887149315,0.001
6,K3P+I+G4,38685.079,77876.158,77985.634,79207.958,0.760738072,0.001,0.381196392,0.001,1.003282866,0.001,0.323211892,0.001,0.518748806,0.001
7,JC+G4,38696.737,77893.475,78000.102,79209.482,0.679708811,0.001,0.237584623,0.001,1.001044764,0.001,0.362162956,0.001,0.633842639,0.001
8,TIM2e+G4,38685.853,77877.705,77987.180,79209.505,0.747023971,0.001,0.556522805,0.001,1.012382453,0.001,0.654313084,0.001,0.719281116,0.001
9,TIM3e+G4,38686.736,77879.471,77988.947,79211.271,0.690797148,0.001,0.413956131,0.001,1.021993687,0.001,0.154092979,0.001,0.645779617,0.001
10,TIMe+G4,38686.820,77879.639,77989.115,79211.439,0.784721623,0.001,0.311882237,0.001,1.000007951,0.001,1.506533018,0.001,1.145558372,0.001
11,TIM2e+I+G4,38683.749,77875.498,77985.933,79212.562,0.755833312,0.001,0.325873251,0.001,1.003413244,0.001,1.754368318,0.001,0.871082383,0.001
12,JC+I+G4,38694.743,77891.486,77999.058,79212.758,0.626403868,0.001,0.376384676,0.001,1.015656009,0.001,0.289561923,0.001,0.539833468,0.001
13,TIM3e+I+G4,38684.690,77877.379,77987.814,79214.443,0.855424706,0.001,0.405880907,0.001,1.001947214,0.001,1.686140601,0.001,1.13422535,0.001
14,TIMe+I+G4,38684.802,77877.604,77988.039,79214.668,0.684097082,0.001,0.372563799,0.001,0.99999118,0.001,0.133251221,0.001,0.451893393,0.001
15,TVMe+G4,38685.966,77879.932,77990.367,79216.996,0.741357721,0.001,0.334797584,0.001,1.00108079,0.001,0.293637304,0.001,0.774281634,0.001
16,TVMe+I+G4,38683.831,77877.662,77989.061,79219.990,0.852528388,0.001,0.468575219,0.001,1.002337393,0.001,0.698877364,0.001,1.237175633,0.001
17,HKY+F+G4,38688.594,77885.188,77995.623,79222.252,0.536231535,0.001,0.296839877,0.001,1.003591235,0.001,0.229685394,0.001,0.364106453,0.001
18,SYM+G4,38685.716,77881.431,77992.830,79223.759,0.830248416,0.001,0.481477454,0.001,1.001072806,0.001,0.707156846,0.001,1.201628904,0.001
19,HKY+F+I+G4,38686.605,77883.210,77994.610,79225.538,0.638711155,0.001,0.535700197,0.001,1.003746067,0.001,0.161985414,0.001,0.686572045,0.001
20,TPM3+F+G4,38687.067,77884.134,77995.533,79226.461,0.784902724,0.001,0.267857414,0.001,1.002367756,0.001,2.67670964,0.001,1.076822771,0.001
21,TPM3u+F+G4,38687.067,77884.134,77995.533,79226.461,0.748075034,0.001,0.459906688,0.001,1.004142012,0.001,0.300893638,0.001,0.878172882,0.001
