no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
1,WAG+I+G4,8693.306,17876.612,18467.495,18883.378,0.696905429,0.001,0.364714006,0.001,1.000012748,0.001,0.131787444,0.001,0.564196714,0.001
2,WAG+G4,8698.491,17884.983,18468.202,18887.639,0.671491261,0.001,0.248139887,0.005,1.015519043,0.001,3.835168165,0.001,1.471384698,0.001
3,WAG+R4,8684.788,17867.577,18490.077,18890.78,0.828129302,0.001,0.383148642,0.001,1.019950621,0.001,2.059502883,0.001,1.213263666,0.001
4,WAG+R5,8680.809,17863.618,18502.527,18895.039,0.673208417,0.001,0.195825749,0.008,1.015407899,0.001,2.036395275,0.001,0.792488754,0.001
5,WAG+R3,8694.119,17882.239,18488.734,18897.223,0.878872421,0.001,0.472386996,0.001,1.00404667,0.001,2.410720267,0.001,1.435323952,0.001
6,JTTDCMut+I+G4,8723.45,17936.9,18527.782,18943.666,0.761557984,0.001,0.398122677,0.001,1.008925393,0.001,0.627628489,0.001,0.683114045,0.001
7,JTTDCMut+R4,8713.207,17924.414,18546.914,18947.617,0.942050056,0.001,0.641494692,0.001,1.004734015,0.001,2.3772918,0.001,3.13425606,0.001
8,JTTDCMut+G4,8728.541,17945.083,18528.303,18947.739,0.869172522,0.001,0.589985897,0.001,0.999985323,0.001,0.749505712,0.001,1.663694758,0.001
9,JTTDCMut+R5,8709.163,17920.327,18559.236,18951.748,0.773393761,0.001,0.354486611,0.001,1.02178169,0.001,1.069690204,0.001,0.853659122,0.001
10,JTTDCMut+R3,8722.281,17938.562,18545.058,18953.547,0.366552741,0.001,0.422804415,0.001,1.009829134,0.001,0.760616501,0.001,0.554091744,0.001
11,JTT+I+G4,8729.993,17949.985,18540.868,18956.751,0.738559687,0.001,0.545619402,0.001,1.003648259,0.001,0.287715846,0.001,0.71656944,0.001
12,JTT+R4,8719.59,17937.18,18559.68,18960.383,0.804107594,0.001,0.555670085,0.001,1.004822759,0.001,0.167459163,0.001,0.855523803,0.001
13,JTT+G4,8735.072,17958.143,18541.363,18960.8,0.561062197,0.001,0.356791944,0.001,1.014451386,0.001,0.113035625,0.001,0.548750791,0.001
14,JTT+R5,8715.54,17933.08,18571.989,18964.501,0.615149435,0.001,0.334346651,0.001,1.018443661,0.001,0.344037082,0.001,0.52007768,0.001
15,JTT+R3,8728.662,17951.325,18557.82,18966.309,0.729262853,0.001,0.376315751,0.001,1.004734897,0.001,0.176975455,0.001,0.364609487,0.001
16,WAG+R2,8738.013,17966.026,18556.908,18972.791,0.844533766,0.001,0.554718,0.001,1.022665752,0.001,1.030510365,0.001,1.541260647,0.001
17,VT+I+G4,8743.795,17977.591,18568.473,18984.356,0.731643606,0.001,0.482805237,0.001,1.00785414,0.001,0.523168493,0.001,0.720487201,0.001
18,VT+G4,8747.96,17983.921,18567.14,18986.577,0.753042232,0.001,0.427651662,0.001,1.016327671,0.001,0.387459929,0.001,0.768691162,0.001
19,VT+R4,8733.294,17964.588,18587.088,18987.79,0.582723387,0.001,0.28379988,0.001,1.017425235,0.001,0.101939177,0.001,0.371795883,0.001
20,cpREV+R4,8733.5,17964.999,18587.499,18988.202,0.792662896,0.001,0.494751189,0.001,1.025757596,0.001,0.38078281,0.001,1.011577936,0.001
21,cpREV+I+G4,8745.778,17981.555,18572.438,18988.321,0.893793086,0.001,0.575861353,0.001,1.015536092,0.001,1.353514828,0.001,1.455107997,0.001
22,cpREV+R5,8729.225,17960.449,18599.358,18991.87,0.773430117,0.001,0.467171501,0.001,1.001036328,0.001,0.349722664,0.001,0.84029077,0.001
23,VT+R5,8729.441,17960.883,18599.792,18992.304,0.674655624,0.001,0.512237915,0.001,1.030902093,0.001,0.163906804,0.001,0.550492305,0.001
24,cpREV+R3,8743.062,17980.123,18586.618,18995.107,0.685399201,0.001,0.249667817,0.001,1.002247617,0.001,0.654813892,0.001,0.531656559,0.001
25,VT+R3,8743.202,17980.404,18586.899,18995.388,0.764041422,0.001,0.359092825,0.001,1.003974556,0.001,1.432911336,0.001,0.901533682,0.001
26,cpREV+G4,8752.929,17993.858,18577.078,18996.514,0.805076876,0.001,0.440602604,0.001,1.006036491,0.001,0.539129147,0.001,1.170013247,0.001
27,JTTDCMut+R2,8767.237,18024.474,18615.356,19031.24,0.852859419,0.001,0.388294876,0.001,1.017279815,0.001,2.133676552,0.001,1.496289999,0.001
28,JTT+R2,8773.578,18037.155,18628.038,19043.921,0.69782088,0.001,0.254229325,0.003,1.003754017,0.001,2.429586746,0.001,0.902855244,0.001
29,VT+R2,8782.573,18055.147,18646.029,19061.912,0.831585108,0.001,0.497722225,0.001,1.023390997,0.001,0.83739266,0.001,1.44819964,0.001
30,WAG+F+I+G4,8726.07,17980.141,18736.465,19064.982,0.644205248,0.001,0.388314228,0.001,1.022776426,0.001,0.072405966,0.001,0.361022461,0.001
31,WAG+F+G4,8731.264,17988.527,18735.108,19069.26,0.767716514,0.001,0.253124706,0.006,1.007056662,0.001,2.244835034,0.001,1.137972306,0.001
32,WAG+F+R4,8716.788,17969.576,18766.172,19070.854,0.769854391,0.001,0.591677113,0.001,1.013600544,0.001,0.327326739,0.001,1.255560003,0.001
33,cpREV+F+I+G4,8729.036,17986.072,18742.396,19070.913,0.762917473,0.001,0.227507252,0.013,1.015168698,0.001,6.041151417,0.001,1.898000939,0.001
34,WAG+F+R5,8712.905,17965.81,18783.352,19075.307,0.84394232,0.001,0.343951725,0.001,1.005834048,0.001,3.158893183,0.001,2.137869369,0.001
35,cpREV+F+R4,8720.724,17977.448,18774.044,19078.726,0.715596076,0.001,0.424312216,0.001,1.013003774,0.001,0.159807223,0.001,0.57735188,0.001
36,WAG+F+R3,8727.118,17986.237,18762.433,19079.297,0.831499626,0.001,0.352309345,0.001,1.000027356,0.001,1.778969783,0.001,1.135228575,0.001
37,cpREV+F+R5,8716.298,17972.596,18790.137,19082.092,0.730671979,0.001,0.459617175,0.001,1.024043939,0.001,0.115563625,0.001,0.454876179,0.001
38,PMB+R4,8780.807,18059.613,18682.113,19082.816,0.748618343,0.001,0.397353888,0.001,1.009957597,0.001,0.354578809,0.001,0.618035978,0.001
39,cpREV+F+R3,8729.531,17991.063,18767.259,19084.123,0.686633998,0.001,0.292657001,0.001,1.000012677,0.001,1.258928613,0.001,0.694444216,0.001
40,PMB+I+G4,8794.098,18078.196,18669.079,19084.962,0.866544722,0.001,0.430078947,0.001,1.032074888,0.001,2.464156871,0.001,1.435593145,0.001
41,cpREV+F+G4,8739.131,18004.261,18750.842,19084.993,0.723365309,0.001,0.464427591,0.001,1.005932627,0.001,0.522495436,0.001,0.896038389,0.001
42,PMB+G4,8797.314,18082.628,18665.848,19085.284,0.911354849,0.001,0.61323413,0.001,1.006775719,0.001,0.592445865,0.001,2.546824872,0.001
43,PMB+R5,8777.431,18056.861,18695.77,19088.282,0.823905424,0.001,0.594516604,0.001,1.00844154,0.001,0.213857262,0.001,1.013961732,0.001
