no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
1,K2P+G4,40144.169,80790.337,80897.909,82111.609,0.865201447,0.001,0.639965679,0.001,1.005583991,0.001,0.276103615,0.001,1.208846036,0.001
2,K2P+I+G4,40143.420,80790.840,80899.361,82117.376,0.907099087,0.001,0.401396009,0.001,1.004284459,0.001,2.720035108,0.001,1.788441872,0.001
3,TNe+G4,40143.899,80791.797,80900.318,82118.333,0.902125566,0.001,0.49066083,0.001,1.005509659,0.001,1.657522047,0.001,1.552797785,0.001
4,K3P+G4,40143.996,80791.992,80900.513,82118.528,0.886541866,0.001,0.503663701,0.001,1.005633676,0.001,3.402913979,0.001,2.480170451,0.001
5,TNe+I+G4,40143.148,80792.296,80901.771,82124.095,0.671973141,0.001,0.340253959,0.001,1.010774727,0.001,0.243292909,0.001,0.414945869,0.001
6,K3P+I+G4,40143.247,80792.493,80901.968,82124.293,0.659709105,0.001,0.253830735,0.001,1.007410504,0.001,0.091495522,0.001,0.344307911,0.001
7,TIM2e+G4,40143.542,80793.083,80902.559,82124.883,0.847560564,0.001,0.374813406,0.001,1.004962933,0.001,3.025143098,0.001,1.507803111,0.001
8,TIMe+G4,40143.729,80793.459,80902.934,82125.258,0.74035658,0.001,0.409589853,0.001,1.007649697,0.001,1.082226916,0.001,0.724996324,0.001
9,TIM3e+G4,40143.807,80793.614,80903.089,82125.413,0.560919791,0.001,0.26917826,0.001,1.007462781,0.001,0.066183203,0.001,0.296901141,0.001
10,TIM2e+I+G4,40142.773,80793.546,80903.981,82130.610,0.76579107,0.001,0.376100329,0.001,1.010802984,0.001,0.300414529,0.001,0.758743724,0.001
11,TIMe+I+G4,40142.944,80793.888,80904.323,82130.952,0.837767362,0.001,0.499719167,0.001,1.010656869,0.001,0.286216555,0.001,0.851653183,0.001
12,TIM3e+I+G4,40142.994,80793.989,80904.423,82131.052,0.913924698,0.001,0.534435631,0.001,1.010659985,0.001,2.130446936,0.001,1.76454207,0.001
13,TVMe+G4,40143.550,80795.099,80905.534,82132.163,0.851935975,0.001,0.424580053,0.001,1.011750985,0.001,0.454231193,0.001,1.047500081,0.001
14,HKY+F+G4,40144.634,80797.268,80907.703,82134.332,0.916350062,0.001,0.529669204,0.001,1.001225277,0.001,2.300622284,0.001,1.965798904,0.001
