no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
24,TVM+F+I+G4,32296.907,65109.814,65235.893,66447.448,0.714286368,0.001,0.399643121,0.001,1.001627164,0.001,0.397655721,0.001,0.582092579,0.001
25,TPM3+F+I+G4,32314.473,65140.945,65264.847,66468.210,0.716186282,0.001,0.323424685,0.001,1.008985329,0.001,0.249172081,0.001,0.699439754,0.001
26,TPM3u+F+I+G4,32314.491,65140.982,65264.884,66468.247,0.657152478,0.001,0.445966888,0.001,1.00003358,0.001,0.207456311,0.001,0.486008521,0.001
27,TIM+F+G4,32339.741,65191.483,65315.385,66518.748,0.75879648,0.001,0.376603716,0.001,1.007130454,0.001,1.246286654,0.001,0.85432139,0.001
28,TIM2+F+G4,32342.100,65196.201,65320.103,66523.466,0.834092276,0.001,0.244638613,0.001,1.007395943,0.001,1.119481085,0.001,0.676337235,0.001
29,TN+F+G4,32348.526,65207.053,65329.875,66529.133,0.781700358,0.001,0.377566993,0.001,1.007102202,0.001,0.721623926,0.001,0.822990782,0.001
30,K3Pu+F+I+G4,32346.126,65204.252,65328.154,66531.517,0.702101723,0.001,0.431395311,0.001,1.001478007,0.001,0.322116988,0.001,0.503468456,0.001
31,TPM2u+F+I+G4,32349.764,65211.528,65335.430,66538.793,0.863223719,0.001,0.366050098,0.001,1.007072806,0.001,2.381914059,0.001,1.446918915,0.001
32,TPM2+F+I+G4,32349.768,65211.536,65335.438,66538.801,0.72552453,0.001,0.255155966,0.001,1.00447128,0.001,0.283462539,0.001,0.556041307,0.001
33,HKY+F+I+G4,32353.853,65217.707,65340.529,66539.787,0.751537419,0.001,0.428910347,0.001,1.003777129,0.001,0.240802494,0.001,0.613166888,0.001
34,TVM+F+G4,32347.061,65208.121,65333.109,66540.571,0.777142698,0.001,0.31328338,0.001,1.001357071,0.001,1.28463044,0.001,0.848056875,0.001
35,TPM3u+F+G4,32366.647,65243.293,65366.115,66565.374,0.75558683,0.001,0.457102716,0.001,1.002462055,0.001,0.252751681,0.001,0.616174344,0.001
36,TPM3+F+G4,32366.649,65243.297,65366.119,66565.378,0.637303841,0.001,0.41183172,0.001,1.004873748,0.001,0.106359657,0.001,0.430729147,0.001
37,K3Pu+F+G4,32397.532,65305.064,65427.886,66627.145,0.786293723,0.001,0.437033189,0.001,1.00443837,0.001,0.401928145,0.001,0.744352644,0.001
38,TPM2+F+G4,32402.024,65314.048,65436.870,66636.128,0.832436926,0.001,0.444128311,0.001,1.011979359,0.001,0.601600584,0.001,0.887205305,0.001
39,TPM2u+F+G4,32402.025,65314.049,65436.872,66636.130,0.711373881,0.001,0.421886286,0.001,1.00739632,0.001,0.135947523,0.001,0.553180604,0.001
40,HKY+F+G4,32406.592,65321.183,65442.931,66638.079,0.769655193,0.001,0.499208943,0.001,1.001794065,0.001,0.408680947,0.001,0.894741355,0.001
41,JC+I+G4,33306.604,67115.208,67233.769,68416.550,0.822099493,0.001,0.337012438,0.001,1.009668559,0.001,0.792215492,0.001,0.921917728,0.001
42,JC+G4,33347.506,67195.012,67312.521,68491.169,0.799114012,0.001,0.520086464,0.001,1.001512898,0.001,0.283436623,0.001,1.058605593,0.001
43,F81+F+I+G4,33432.414,67372.828,67494.576,68689.724,0.917337812,0.001,0.468645959,0.001,1.00143104,0.001,2.994315114,0.001,2.134776513,0.001
44,F81+F+G4,33472.120,67450.240,67570.919,68761.951,0.809049542,0.001,0.327096833,0.001,1.008503422,0.001,0.412124793,0.001,0.843186334,0.001
45,SYM+I,33582.622,67675.244,67798.067,68997.325,0.816065791,0.001,0.450279632,0.001,1.010381952,0.001,0.33997647,0.001,1.057595968,0.001
46,TIMe+I,33595.057,67696.114,67816.794,69007.825,0.514093417,0.001,0.341397149,0.001,0.999989529,0.001,0.110197812,0.001,0.355845982,0.001
47,TIM3e+I,33608.484,67722.968,67843.648,69034.680,0.772707861,0.001,0.432508832,0.001,1.010145643,0.001,0.376160498,0.001,1.110381274,0.001
48,TNe+I,33617.129,67738.258,67857.875,69044.784,0.834661441,0.001,0.432835246,0.001,1.003320603,0.001,1.207197758,0.001,1.215092631,0.001
49,TIM2e+I,33614.216,67734.433,67855.113,69046.144,0.842493798,0.001,0.3850381,0.001,1.001599346,0.001,0.776883844,0.001,1.126556313,0.001
50,TVMe+I,33656.171,67820.342,67942.090,69137.238,0.740995198,0.001,0.291671829,0.001,1.000698543,0.001,1.382702796,0.001,0.775507,0.001
51,K3P+I,33668.693,67841.387,67961.004,69147.913,0.903373016,0.001,0.55924055,0.001,1.001254129,0.001,1.067724819,0.001,1.718713904,0.001
52,GTR+F+I,33662.005,67840.011,67966.090,69177.645,0.640597908,0.001,0.311232459,0.001,1.006573868,0.001,0.731751346,0.001,0.571898202,0.001
53,K2P+I,33690.763,67883.525,68002.086,69184.867,0.514162863,0.001,0.224188467,0.001,1.003310862,0.001,0.128584651,0.001,0.377015697,0.001
54,TIM3+F+I,33691.768,67895.536,68019.439,69222.802,0.630045375,0.001,0.26611365,0.001,1.006538757,0.001,0.283721768,0.001,0.569690695,0.001
55,TIM+F+I,33705.036,67922.073,68045.975,69249.338,0.818731988,0.001,0.487209537,0.001,1.007521582,0.001,0.802454272,0.001,1.182810853,0.001
56,TIM2+F+I,33717.156,67946.311,68070.213,69273.576,0.732919092,0.001,0.329042689,0.001,0.999995889,0.001,1.260886087,0.001,0.749766209,0.001
57,TN+F+I,33724.546,67959.093,68081.915,69281.173,0.782297955,0.001,0.376211514,0.001,1.002818754,0.001,1.797779311,0.001,1.033243243,0.001
58,TVM+F+I,33739.218,67992.436,68117.424,69324.886,0.799227282,0.001,0.396893054,0.001,1.001345818,0.001,0.448487626,0.001,0.850813608,0.001
59,TPM3+F+I,33768.518,68047.036,68169.858,69369.116,0.797296376,0.001,0.491606187,0.001,1.003586875,0.001,0.360241945,0.001,0.947564119,0.001
60,TPM3u+F+I,33768.518,68047.036,68169.858,69369.117,0.781808021,0.001,0.262630247,0.001,1.003692794,0.001,0.52659838,0.001,0.942811738,0.001
61,K3Pu+F+I,33782.267,68074.534,68197.356,69396.615,0.621992785,0.001,0.229441412,0.002,1.01089136,0.001,0.189035058,0.001,0.543799855,0.001
62,TPM2+F+I,33794.834,68099.668,68222.490,69421.748,0.731549955,0.001,0.434117318,0.001,1.002722474,0.001,0.980790774,0.001,0.781053361,0.001
63,TPM2u+F+I,33794.834,68099.668,68222.490,69421.748,0.6794885,0.001,0.396924339,0.001,0.999973716,0.001,0.328555415,0.001,0.493231403,0.001
64,HKY+F+I,33801.800,68111.599,68233.347,69428.495,0.789026525,0.001,0.461586696,0.001,1.002341905,0.001,0.787569919,0.001,1.065812384,0.001
65,JC+I,34661.833,69823.667,69941.176,71119.824,0.875388364,0.001,0.504575474,0.001,1.000380933,0.001,0.479917176,0.001,1.693166086,0.001
66,F81+F+I,34779.066,70064.132,70184.812,71375.843,0.89015277,0.001,0.54086425,0.001,1.004153419,0.001,1.385419909,0.001,2.05691707,0.001
67,SYM,35693.901,71895.802,72017.550,73212.698,0.819166065,0.001,0.362571156,0.001,1.006496957,0.001,0.499987494,0.001,1.324591169,0.001
68,TIMe,35703.662,71911.324,72030.941,73217.850,0.708805766,0.001,0.297127035,0.001,1.000839345,0.001,0.968521019,0.001,0.62310155,0.001
69,TIM3e,35716.933,71937.866,72057.483,73244.392,0.756926332,0.001,0.267365897,0.001,0.999995552,0.001,0.654414695,0.001,0.799556413,0.001
70,TNe,35726.804,71955.609,72074.169,73256.951,0.859832634,0.001,0.397510329,0.001,1.006800276,0.001,2.161885468,0.001,1.712127982,0.001
71,TIM2e,35726.806,71957.611,72077.228,73264.138,0.697364987,0.001,0.236526716,0.001,0.999989927,0.001,0.922954286,0.001,0.486449821,0.001
72,GTR+F,35764.679,72043.358,72168.345,73375.807,0.822704991,0.001,0.439651028,0.001,1.00289436,0.001,1.470238524,0.001,1.181119272,0.001
73,TIM3+F,35788.926,72087.851,72210.673,73409.931,0.663115893,0.001,0.198216102,0.001,1.007983513,0.001,0.416126813,0.001,0.651005689,0.001
74,TIM+F,35806.885,72123.771,72246.593,73445.851,0.638263529,0.001,0.16069869,0.001,1.00668959,0.001,0.208192252,0.001,0.647751588,0.001
75,TN+F,35830.102,72168.203,72289.951,73485.099,0.805606228,0.001,0.360249884,0.001,1.008022628,0.001,1.093214677,0.001,0.832752758,0.001
76,TIM2+F,35829.374,72168.749,72291.571,73490.829,0.700383008,0.001,0.383529807,0.001,1.00803854,0.001,0.2109941,0.001,0.652695231,0.001
77,TVMe,35909.457,72324.914,72445.594,73636.625,0.624450261,0.001,0.297477256,0.001,1.000479034,0.001,0.252560833,0.001,0.628541939,0.001
78,K3P,35919.512,72341.024,72459.585,73642.366,0.644733893,0.001,0.33112291,0.001,1.001638029,0.001,0.391195513,0.001,0.580194159,0.001
79,K2P,35942.806,72385.613,72503.122,73681.770,0.901246827,0.001,0.446407742,0.001,1.001812073,0.001,2.736039363,0.001,1.971355556,0.001
80,TVM+F,35991.305,72494.609,72618.511,73821.874,0.734837831,0.001,0.352497822,0.001,1.010081089,0.001,0.302298731,0.001,0.688908139,0.001
81,TPM3+F,36015.478,72538.956,72660.704,73855.851,0.758955852,0.001,0.382031078,0.001,1.013382757,0.001,0.577836569,0.001,0.666578385,0.001
82,TPM3u+F,36015.478,72538.957,72660.705,73855.853,0.77184482,0.001,0.493225823,0.001,1.007700766,0.001,0.303929597,0.001,0.892203809,0.001
83,K3Pu+F,36033.403,72574.806,72696.554,73891.702,0.724813732,0.001,0.273751889,0.001,1.012680531,0.001,0.384716686,0.001,0.718127794,0.001
84,HKY+F,36056.854,72619.708,72740.388,73931.420,0.92761579,0.001,0.39897598,0.001,0.999987065,0.001,6.42699542,0.001,3.779158171,0.001
85,TPM2+F,36056.277,72620.553,72742.301,73937.449,0.695776535,0.001,0.37464833,0.001,1.005771994,0.001,0.365643571,0.001,0.56761073,0.001
86,TPM2u+F,36056.277,72620.554,72742.302,73937.450,0.722999223,0.001,0.51634281,0.001,1.007973356,0.001,0.300005174,0.001,0.630554867,0.001
87,JC,36875.348,74248.696,74365.160,75539.669,0.834038813,0.001,0.445941523,0.001,1.000027763,0.001,0.38656177,0.001,1.222165848,0.001
88,F81+F,36990.108,74484.216,74603.833,75790.743,0.774200329,0.001,0.41965477,0.001,1.002755591,0.001,0.62847735,0.001,0.962255099,0.001
