no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
1,SYM+I+G4,32161.898,64835.797,64959.699,66163.062,0.710984337,0.001,0.306595405,0.001,1.004032828,0.001,0.323672419,0.001,0.732507464,0.001
2,TIMe+I+G4,32174.855,64857.711,64979.459,66174.607,0.823737726,0.001,0.462031362,0.001,1.001875337,0.001,0.752833245,0.001,1.218227803,0.001
3,TIM3e+I+G4,32175.438,64858.877,64980.625,66175.773,0.809836287,0.001,0.493495958,0.001,1.001627647,0.001,0.761418811,0.001,0.954317098,0.001
4,TNe+I+G4,32185.114,64876.227,64996.907,66187.938,0.737748526,0.001,0.344541212,0.001,1.001727806,0.001,0.180156813,0.001,0.741446186,0.001
5,TIM2e+I+G4,32184.408,64876.815,64998.563,66193.711,0.591580353,0.001,0.427173159,0.001,1.008533832,0.001,0.865635903,0.001,0.671524839,0.001
6,TVMe+I+G4,32214.489,64938.978,65061.800,66261.058,0.66113974,0.001,0.243298075,0.001,0.999995347,0.001,0.153886953,0.001,0.36827715,0.001
7,SYM+G4,32214.983,64939.966,65062.788,66262.046,0.649424055,0.001,0.414897898,0.001,1.001739912,0.001,0.107032038,0.001,0.473465556,0.001
8,K3P+I+G4,32226.949,64959.898,65080.578,66271.609,0.84629838,0.001,0.274700757,0.001,0.999988046,0.001,2.608703707,0.001,1.194190114,0.001
9,TIMe+G4,32230.146,64966.292,65086.972,66278.003,0.834430294,0.001,0.350198695,0.001,1.001856434,0.001,1.353524922,0.001,1.37635796,0.001
10,TIM3e+G4,32230.518,64967.035,65087.715,66278.746,0.706789343,0.001,0.354504401,0.001,1.007118957,0.001,0.399552364,0.001,0.683063133,0.001
11,K2P+I+G4,32236.834,64977.668,65097.285,66284.194,0.738544295,0.001,0.524261316,0.001,1.005815809,0.001,0.167815813,0.001,0.751724619,0.001
12,TNe+G4,32241.824,64987.648,65107.265,66294.175,0.727731942,0.001,0.299999579,0.001,1.001836102,0.001,1.231614551,0.001,0.582096266,0.001
13,TIM2e+G4,32240.697,64987.395,65108.075,66299.106,0.670188417,0.001,0.263263429,0.002,1.003524027,0.001,1.536552795,0.001,0.653819432,0.001
14,GTR+F+I+G4,32233.346,64984.692,65111.868,66327.511,0.922410689,0.001,0.57281184,0.001,1.007697773,0.001,1.714145524,0.001,3.030490958,0.001
15,TIM3+F+I+G4,32253.093,65020.187,65145.174,66352.636,0.909816961,0.001,0.434753069,0.001,1.0073811,0.001,10.06171448,0.001,4.244451926,0.001
16,TVMe+G4,32264.932,65037.863,65159.612,66354.759,0.739516555,0.001,0.365626473,0.001,1.004744026,0.001,0.897390154,0.001,0.784310353,0.001
17,K3P+G4,32278.293,65060.586,65180.203,66367.112,0.706019351,0.001,0.419842138,0.001,1.003649459,0.001,0.148393356,0.001,0.629636893,0.001
18,K2P+G4,32289.574,65081.149,65199.709,66382.491,0.755309639,0.001,0.209032978,0.001,1.000229724,0.001,1.302547562,0.001,0.738499431,0.001
19,GTR+F+G4,32281.744,65079.487,65205.567,66417.122,0.780101013,0.001,0.207278656,0.005,1.000310793,0.001,1.689903349,0.001,0.90837385,0.001
20,TIM+F+I+G4,32287.473,65088.946,65213.934,66421.396,0.7029383,0.001,0.423881504,0.001,1.007181505,0.001,0.120958023,0.001,0.433236779,0.001
21,TIM2+F+I+G4,32289.926,65093.853,65218.840,66426.302,0.599812633,0.001,0.196263036,0.002,1.004872874,0.001,0.16428963,0.001,0.377263597,0.001
22,TN+F+I+G4,32295.285,65102.570,65226.472,66429.835,0.768075824,0.001,0.354686794,0.001,1.001796587,0.001,0.277919905,0.001,0.765912609,0.001
23,TIM3+F+G4,32303.761,65119.523,65243.425,66446.788,0.722137118,0.001,0.252772633,0.001,1.006850902,0.001,0.320011829,0.001,0.571499735,0.001
