No.,Model,-LnL,df,AIC,AICc,BIC
248,WAG+F,9290.541,262,19105.083,19842.045,20181.706
249,WAG+F+I,8943.979,263,18413.957,19160.538,19494.689
250,WAG+F+G4,8731.264,263,17988.527,18735.108,19069.260
251,WAG+F+I+G4,8726.070,264,17980.141,18736.465,19064.982
252,WAG+F+R2,8769.264,264,18066.528,18822.852,19151.369
253,WAG+F+R3,8727.118,266,17986.237,18762.433,19079.297
254,WAG+F+R4,8716.788,268,17969.576,18766.172,19070.854
255,WAG+F+R5,8712.905,270,17965.810,18783.352,19075.307
Akaike,Information,Criterion:,WAG+R5
Corrected,Akaike,Information,Criterion:,WAG+I+G4
Bayesian,Information,Criterion:,WAG+I+G4
Best-fit,model:,WAG+I+G4,
